postcode,suburb
3002,EAST MELBOURNE
3000,MELBOURNE
3045,MELBOURNE AIRPORT
3052,MELBOURNE UNIVERSITY
5006,NORTH ADELAIDE MELBOURNE ST
3051,NORTH MELBOURNE
3207,PORT MELBOURNE
3050,ROYAL MELBOURNE HOSPITAL
3205,SOUTH MELBOURNE
3004,ST KILDA ROAD MELBOURNE
3010,UNIVERSITY OF MELBOURNE
3003,WEST MELBOURNE
